Section ID,Codigo Curso,Tipo Sesion,Liga,Ciclo,Profesor ID,Aula ID,Franjas Horarias,Alumnos Proyectados
1704,ICSI521,T,1,5,322,90,"1,2",34
1705,ICSI521,T,2,5,322,92,"4,5",34
1771,ISIA115,T,1,8,322,73,"7,8",38
1768,ISIA111,T,1,7,322,72,"10,11",60
1770,ISIA111,L,1,7,322,65,"15,16",30
1769,ISIA111,L,1,7,322,64,"20,21",30
1741,ISIA112,T,1,7,322,86,"23,24",59
1742,ISIA112,P,1,7,322,93,"25,26",59
1743,ISIA112,L,1,7,322,65,"27,28",30
1744,ISIA112,L,1,7,322,65,"33,34",29
1772,ISIA115,T,2,8,322,73,"42,43",37
1773,ISIA115,L,1,8,322,64,"44,45,46,47",30
1774,ISIA115,L,2,8,322,65,"49,50,51,52",30
-9,ISIA115,L,1,8,322,47,"53,54,55,56",8
-10,ISIA115,L,2,8,322,48,"57,58,59,60",7
1654,ICSI673,L,2,4,323,60,"29,30,31,32",17
1653,ICSI673,L,2,4,323,51,"45,46,47,48",17
1633,ICSI672,T,1,3,324,70,"4,5",43
1745,ISIA114,T,1,7,324,83,"18,19",43
1746,ISIA114,T,2,7,324,74,"22,23",42
1634,ICSI672,T,2,3,324,88,"42,43",42
1635,ICSI672,P,1,3,324,70,"47,48",43
1594,ADMI779,T,1,2,326,89,"4,5",49
1598,ADMI779,P,1,2,326,90,"12,13,14,15",49
1802,ICSI679,T,1,9,327,90,"10,11",42
1803,ICSI679,L,1,9,327,52,"12,13,14,15",20
1804,ICSI679,L,1,9,327,63,"28,29,30,31",20
1836,ISIA125,T,1,10,328,82,"1,2",17
1840,ISIA125,P,1,10,328,82,"3,4",17
1838,ISIA125,T,3,10,328,84,"5,6",16
1842,ISIA125,P,3,10,328,88,"9,10",16
1839,ISIA125,T,4,10,328,90,"20,21",16
1843,ISIA125,P,4,10,328,81,"22,23",16
1735,ICSI676,T,2,6,329,86,"7,8",60
1738,ICSI676,L,2,6,329,64,"9,10,11,12",30
1848,ICSI676,T,3,6,329,87,"13,14",19
1849,ICSI676,T,3,6,329,89,"18,19",19
1734,ICSI676,T,1,6,329,79,"21,22",60
1739,ICSI676,L,2,6,329,64,"24,25,26,27",30
1736,ICSI676,L,1,6,329,66,"36,37,38,39",30
1737,ICSI676,L,1,6,329,64,"40,41,42,43",30
-8,ICSI676,L,2,6,329,48,"51,52,53,54",9
-7,ICSI676,L,2,6,329,61,"55,56,57,58",9
-5,ICSI676,L,1,6,329,51,"65,66,67,68",10
-6,ICSI676,L,1,6,329,61,"69,70,71,72",10
1850,ISIA104,T,2,5,330,92,"8,9",10
1689,ISIA104,T,1,5,330,73,"31,32",60
1690,ISIA104,L,1,5,330,47,"33,34",18
1691,ISIA104,L,1,5,330,61,"35,36",18
1692,ISIA104,L,1,5,330,49,"38,39",17
1693,ISIA104,L,1,5,330,49,"49,50",17
1681,ISIA103,L,2,4,330,65,"79,80",30
1622,ICSI671,T,1,3,332,81,"17,18",39
1623,ICSI671,T,2,3,332,69,"19,20",39
1624,ICSI671,L,1,3,332,63,"24,25,26,27",17
1626,ICSI671,L,1,3,332,61,"29,30,31,32",17
1625,ICSI671,L,1,3,332,48,"35,36,37,38",17
1627,ICSI671,L,2,3,332,50,"45,46,47,48",17
1628,ICSI671,L,2,3,332,63,"59,60,61,62",17
1549,ICSI506,P,2,1,333,81,"10,11,12,13",40
1607,ICSI509,L,1,2,333,63,"17,18,19,20",17
1553,ICSI506,L,2,1,333,60,"21,22,23,24",16
1554,ICSI506,L,2,1,333,53,"26,27,28,29",16
1603,ICSI509,T,2,2,333,80,"31,32",52
1605,ICSI509,L,1,2,333,47,"36,37,38,39",18
1606,ICSI509,L,1,2,333,50,"41,42,43,44",18
1663,ISIA102,T,1,4,334,86,"10,11",60
1665,ISIA102,L,1,4,334,54,"12,13,14,15",14
1664,ISIA102,T,2,4,334,73,"20,21",60
1670,ISIA102,L,2,4,334,54,"24,25,26,27",13
1671,ISIA102,L,2,4,334,52,"34,35,36,37",13
1672,ISIA102,L,2,4,334,53,"39,40,41,42",13
1666,ISIA102,L,1,4,334,62,"50,51,52,53",14
1667,ISIA102,L,1,4,334,53,"54,55,56,57",14
1668,ISIA102,L,1,4,334,47,"59,60,61,62",13
1669,ISIA102,L,1,4,334,60,"65,66,67,68",13
1673,ISIA102,L,2,4,334,60,"69,70,71,72",13
1710,ISIA109,T,1,6,335,77,"1,2",52
1695,ISIA106A,T,2,5,335,87,"33,34",31
1711,ISIA109,T,2,6,335,72,"49,50",52
1694,ISIA106A,T,1,5,335,82,"66,67",32
1706,ICSI521,L,1,5,336,47,"7,8,9,10",17
1707,ICSI521,L,1,5,336,50,"13,14,15,16",17
1708,ICSI521,L,2,5,336,61,"20,21,22,23",17
1709,ICSI521,L,2,5,336,49,"24,25,26,27",17
1649,ICSI673,L,1,4,336,51,"28,29,30,31",18
1650,ICSI673,L,1,4,336,54,"33,34,35,36",18
1651,ICSI673,L,1,4,336,62,"38,39,40,41",18
1761,ISIA110,T,1,7,336,72,"43,44",33
1765,ISIA110,L,1,7,336,63,"45,46,47,48",18
1764,ISIA110,L,1,7,336,50,"50,51,52,53",18
1762,ISIA110,T,2,7,336,71,"56,57",33
1763,ISIA110,L,1,7,336,50,"59,60,61,62",18
1766,ISIA110,L,2,7,336,50,"67,68,69,70",18
1767,ISIA110,L,2,7,336,50,"73,74,75,76",18
1723,ISIA108,T,2,6,338,79,"17,18",50
1725,ISIA108,P,2,6,338,89,"20,21",50
1684,ISIA106,T,1,5,338,69,"23,24",33
1686,ISIA106,L,1,5,338,65,"25,26",22
1687,ISIA106,L,1,5,338,66,"27,28",22
1729,ISIA108,L,2,6,338,66,"29,30",25
1722,ISIA108,T,1,6,338,81,"34,35",50
1724,ISIA108,P,1,6,338,86,"51,52",50
1727,ISIA108,L,1,6,338,66,"56,57",25
