Section ID,Codigo Curso,Tipo Sesion,Liga,Ciclo,Profesor ID,Aula ID,Franjas Horarias,Alumnos Proyectados
1772,ISIA115,T,2,8,322,78,"25,26",37
1774,ISIA115,L,2,8,322,65,"28,29,30,31",30
1768,ISIA111,T,1,7,322,83,"34,35",60
1741,ISIA112,T,1,7,322,83,"36,37",59
1704,ICSI521,T,1,5,322,73,"39,40",34
1705,ICSI521,T,2,5,322,84,"44,45",34
-10,ISIA115,L,2,8,322,50,"49,50,51,52",7
1771,ISIA115,T,1,8,322,68,"55,56",38
1773,ISIA115,L,1,8,322,66,"60,61,62,63",30
1770,ISIA111,L,1,7,322,66,"66,67",30
1769,ISIA111,L,1,7,322,66,"69,70",30
1742,ISIA112,P,1,7,322,73,"71,72",59
-9,ISIA115,L,1,8,322,52,"74,75,76,77",8
1743,ISIA112,L,1,7,322,64,"79,80",30
1744,ISIA112,L,1,7,322,64,"81,82",29
1745,ISIA114,T,1,7,324,71,"10,11",43
1633,ICSI672,T,1,3,324,68,"28,29",43
1746,ISIA114,T,2,7,324,71,"38,39",42
1634,ICSI672,T,2,3,324,75,"41,42",42
1597,ADMI779,T,4,2,326,77,"15,16",48
1802,ICSI679,T,1,9,327,71,"26,27",42
1803,ICSI679,L,1,9,327,53,"41,42,43,44",20
1804,ICSI679,L,1,9,327,50,"92,93,94,95",20
1839,ISIA125,T,4,10,328,81,"37,38",16
1837,ISIA125,T,2,10,328,81,"41,42",17
1838,ISIA125,T,3,10,328,91,"43,44",16
1836,ISIA125,T,1,10,328,80,"46,47",17
1841,ISIA125,P,2,10,328,88,"55,56",17
1843,ISIA125,P,4,10,328,75,"59,60",16
1840,ISIA125,P,1,10,328,69,"90,91",17
1849,ICSI676,T,3,6,329,70,"7,8",19
1734,ICSI676,T,1,6,329,68,"23,24",60
1737,ICSI676,L,1,6,329,64,"25,26,27,28",30
1736,ICSI676,L,1,6,329,64,"33,34,35,36",30
1735,ICSI676,T,2,6,329,70,"37,38",60
1848,ICSI676,T,3,6,329,80,"39,40",19
-5,ICSI676,L,1,6,329,62,"51,52,53,54",10
1738,ICSI676,L,2,6,329,65,"65,66,67,68",30
-6,ICSI676,L,1,6,329,48,"70,71,72,73",10
1850,ISIA104,T,2,5,330,74,"19,20",10
1681,ISIA103,L,2,4,330,65,"24,25",30
1680,ISIA103,L,2,4,330,64,"30,31",30
1689,ISIA104,T,1,5,330,80,"42,43",60
1692,ISIA104,L,1,5,330,48,"56,57",17
1690,ISIA104,L,1,5,330,48,"58,59",18
1691,ISIA104,L,1,5,330,53,"60,61",18
1693,ISIA104,L,1,5,330,52,"71,72",17
1622,ICSI671,T,1,3,332,71,"43,44",39
1623,ICSI671,T,2,3,332,74,"47,48",39
1626,ICSI671,L,1,3,332,47,"51,52,53,54",17
1624,ICSI671,L,1,3,332,54,"57,58,59,60",17
1627,ICSI671,L,2,3,332,48,"66,67,68,69",17
1625,ICSI671,L,1,3,332,50,"71,72,73,74",17
1628,ICSI671,L,2,3,332,48,"77,78,79,80",17
1611,ICSI509,L,3,2,333,50,"41,42,43,44",17
